main_activity,clustered,tilt_subsector
service provider,funeral parlour repatriation,Automotive HDV
service provider,collecting the remains,Automotive HDV
service provider,repatriation of remains,Automotive HDV
service provider,repatriation of the deceased,Automotive HDV
service provider,repatriation of remains from the uk,Automotive HDV
service provider,repatriation of remains from russia,Automotive HDV
service provider,repatriation of remains from the usa,Automotive HDV
service provider,repatriation of remains from france,Automotive HDV
service provider,funeral director,Automotive HDV
service provider,funeral homes,Automotive HDV
service provider,international funeral transport,Automotive HDV
service provider,funeral services,Automotive HDV
service provider,cremation,Automotive HDV
service provider,undertakers,Automotive HDV
missing,undertakers,Automotive HDV
service provider,provincial funeral transfers,Automotive HDV
service provider,burial services,Automotive HDV
service provider,la palma funeral home,Automotive HDV
service provider,car upholstery,Automotive HDV
service provider,car upholstery repairs,Automotive HDV
service provider,leather car upholstery,Automotive HDV
service provider,funeral transfers,Automotive HDV
service provider,hearses,Automotive HDV
service provider,national funeral transport,Automotive HDV
service provider,crematorium,Automotive HDV
service provider,international funerals,Automotive HDV
service provider,funeral ceremonies,Automotive HDV
service provider,electrical workshop,Automotive HDV
service provider,electromechanical workshops,Automotive HDV
service provider,insurance brokerage,Automotive HDV
service provider,insurance intermediation,Automotive HDV
multi-category,liability insurance,Automotive HDV
service provider,funeral works,Automotive HDV
service provider,pregnancy assistance,Automotive HDV
service provider,gentle delivery assistance,Automotive HDV
missing,guaranteed vehicle assistance,Machinery & Equipment
service provider,rentals,Automotive HDV
service provider,repairs,Automotive HDV
retailer,leather,Automotive LDV
missing,chauffeured coaches,Other Transport
wholesaler,drive technology,Automotive LDV
service provider,hydrocyclones,Automotive HDV
service provider,flow measurement technology,Automotive HDV
service provider,flow simulation,Automotive HDV
service provider,flow calculation,Automotive HDV
service provider,cyclone separators,Automotive HDV
service provider,multi-sheet filters,Automotive HDV
service provider,multi-cyclone collectors,Automotive HDV
service provider,particle measuring service,Automotive HDV
service provider,autoclave repairs,Automotive HDV
manufacturer/ producer,breakdown heavy-goods vehicles,Other Transport
wholesaler,breakdown heavy-goods vehicles,Other Transport
agent/ representative,breakdown heavy-goods vehicles,Other Transport
service provider,insurance for accidents,Automotive HDV
distributor,shipment,Machinery & Equipment
service provider,hearing-aid batteries,Automotive HDV
service provider,reinforced bars,Automotive HDV
service provider,news agencies,Automotive HDV
service provider,car magazine,Automotive HDV
service provider,photography printing,Automotive HDV
service provider,photographic laboratory articles,Automotive HDV
manufacturer/ producer,motorcycle keys,Automotive LDV
service provider,corpse recovery,Automotive HDV
multi-category,bicycle electrical parts,Machinery & Equipment
service provider,nautical vehicle hire,Other Transport
service provider,electric vehicle rental,Other Transport
multi-category,telescopic loaders,Machinery & Equipment
wholesaler,load balancers for lifting,Iron & Steel
service provider,hydraulic springs,Automotive LDV
service provider,mechanical gearboxes,Automotive LDV
service provider,laboratory for minor repairs,Automotive LDV
service provider,laboratory for minor maintenance,Automotive LDV
service provider,wheel rims,Automotive LDV
service provider,air pens for vehicle bodywork,Other Transport
service provider,car hire for promotions,Other Transport
service provider,unravelled fibres for use in automobiles,Other Transport
service provider,unravelled fibres for use in geotextiles,Other Transport
service provider,clothes recycled,Other Transport
service provider,rags recycled,Other Transport
service provider,textile materials,Other Transport
service provider,unravelled fibres for spinning,Other Transport
service provider,textile fibres,Other Transport
distributor,textile fibres,Other Industry
service provider,calory counting,Other Transport
service provider,vehicles for advertising,Automotive LDV
service provider,vehicles for events,Automotive LDV
service provider,transport in spain,Automotive LDV
service provider,building dehumidification,Construction Residential
service provider,interphone system,Construction Residential
service provider,interphone installation,Construction Residential
subcontractor,plumbing work,Construction Residential
service provider,wc bowls,Construction Residential
service provider,floor repairs,Construction Residential
service provider,marble floors,Construction Residential
retailer,façade coverings,Construction Buildings
service provider,pneumatics - post dispatch system,Construction Residential
service provider,minor renovations,Construction Residential
service provider,horizontal street signs,Construction Residential
service provider,street sign maintenance,Construction Residential
service provider,painting of wood,Construction Residential
subcontractor,painting of wood,Construction Residential
service provider,recombing,Construction Residential
service provider,drainage pipes,Construction Residential
missing,domotics,Construction Residential
service provider,consultants on colours,Construction Residential
service provider,consultants on paints,Construction Residential
service provider,consultatns on enamels,Construction Residential
service provider,painting of small metal parts,Construction Residential
missing,woodworking,Fishing & Forestry
multi-category,woodworking,Iron & Steel
manufacturer/ producer,adhesive bands,Other Transport
missing,floor coverings,Construction Buildings
multi-category,earthmoving,Construction Buildings
service provider,closures,Construction Residential
service provider,electrical installation rephasing,Construction Residential
distributor,roofing contractors,Construction Buildings
subcontractor,roofing contractors,Construction Buildings
service provider,lock assembly,Construction Residential
service provider,betting,Construction Residential
service provider,colour,Construction Residential
retailer,colour,Other Industry
manufacturer/ producer,colour,Food Related Products
service provider,paint-coat,Construction Residential
service provider,advice on safety issues,Construction Residential
service provider,ventilation pipe,Construction Residential
service provider,heating system maintenance,Construction Residential
manufacturer/ producer,heat insulation,Other Metals
service provider,google ad campaign,Construction Residential
service provider,office fittings,Construction Residential
service provider,interior outfitting,Construction Residential
service provider,craft,Construction Residential
service provider,system maintenance,Construction Residential
wholesaler,system maintenance,Construction Residential
missing,engineering studies,Renewable Energy
multi-category,engineering studies,Other Transport
manufacturer/ producer,engineering studies,Food Related Products
service provider,environmental engineering studies,Construction Residential
missing,environmental engineering studies,Renewable Energy
service provider,acoustic insulation booths,Construction Residential
service provider,noise analysis,Construction Residential
service provider,noise reduction device design,Construction Residential
wholesaler,construction of buildings,Construction Buildings
subcontractor,construction of buildings,Construction Residential
service provider,curtain opening automation,Construction Residential
service provider,interior decoration,Construction Residential
wholesaler,interior decoration,Other Industry
service provider,interior decoration projects,Construction Residential
manufacturer/ producer,roof renovation,Construction Buildings
wholesaler,roof renovation,Iron & Steel
